Time,S1_N,S2_N,S3_N,S4_N,Total_N,Accel_X,Accel_Y,Accel_Z,Real_Hz
00:02.9,0,0,0,0,0,1.02,9.3,5.92,20
00:03.1,0,0,0,0,0,0.98,9.3,5.88,5
00:03.2,0,0,0,0,0,1.02,9.22,5.88,8.8
00:03.3,0,0,0,0,0,1.14,9.02,5.96,9.4
00:03.5,0,0,0,0,0,0.9,10.08,5.22,5
00:03.6,0,0,0,0,0,1.41,10.12,5.73,8.8
00:03.7,0,0,0,0,0,-0.2,9.81,4.59,9.3
00:03.9,0,0,0,0,0,1.57,9.73,5.18,5
00:04.0,0,0,0,0,0,1.53,8.2,6,8.6
00:04.1,0,0,0,0,0,1.33,8.04,8.47,9.1
00:04.2,0,0,0,0,0,0.82,9.77,5.61,20
00:04.4,0,0,0,0,0,0.9,9.26,5.81,5.1
00:04.5,0,0,0,0.21,0.21,1.06,9.14,5.77,8.8
00:04.6,0,0,1.55,2.87,4.42,0.67,9.34,5.96,9.3
00:04.8,0.44,1.32,5.35,5.87,12.97,0.55,9.06,6.12,5
00:04.9,0.3,1.85,17,8.98,28.14,1.02,9.1,6,8.7
00:05.0,0,1.22,21.81,21.39,44.41,1.06,9.14,6.2,9.3
00:05.2,0,0,23.76,26.22,49.98,1.06,8.83,5.57,5
00:05.3,0,0,23.56,29.96,53.51,0.98,9.38,6.04,8.1
00:05.4,0,0,23.87,32.18,56.05,0.98,9.18,6.08,9.3
00:05.6,0,0,24.03,31.64,55.67,1.06,9.14,6.12,5
00:05.8,0.53,0.97,24.77,27,53.27,1.26,9.34,6.12,8.8
00:05.9,2.28,2.49,5.58,0,10.35,0.16,14.67,7.77,9.3
00:06.1,0,0,0.74,0,0.74,-2.63,5.65,-0.63,5
00:06.2,0,0,0,0,0,2.16,10.12,6.98,8.8
00:06.3,0,0,0,0,0,3.88,10.79,10.94,9.3
00:06.5,0,0,0,0,0,0.86,9.69,9.73,5
00:06.6,0,0,0,0,0,1.06,8.83,5.96,8.6
00:06.7,0,0,0,0,0,0.55,9.45,6,9.3
00:06.9,0.13,1.26,2.8,1.3,5.49,0.86,9.18,6,5.1
00:07.0,1.46,2.96,7.39,4.36,16.17,0.78,9.18,6.08,8.8
00:07.1,2.35,4.35,22.63,7.53,36.87,0.82,9.14,6.16,9.2
00:07.3,2.23,4.37,29.27,18.4,54.26,0.78,9.18,6.12,5.1
00:07.4,1.43,3.48,29.84,20.66,55.41,0.82,9.18,6.04,8.8
00:07.6,0.88,2.9,27.55,20.73,52.06,0.9,9.22,6.04,9.2
00:07.8,0.67,2.53,26.02,18.9,48.12,0.9,9.14,6.08,5
00:07.9,1.15,2.39,24.2,17.3,45.04,0.94,9.26,6.04,8.5
00:08.0,1.88,2.31,22.57,8.57,35.33,0.9,9.26,6.04,9.3
00:08.2,2.45,3.2,21.46,6.42,33.53,0.82,9.3,6.16,5
00:08.3,3.27,4.52,19.49,3.99,31.27,1.02,9.1,6.32,8.8
00:08.4,4.08,5.8,8.75,0.97,19.6,1.06,9.22,6.43,9.3
00:08.6,5.52,7.85,4.69,0,18.07,1.29,8.71,6.75,5
00:08.7,6.88,17.98,3.96,0,28.82,1.1,8.04,6.86,8.7
00:08.8,7.65,22.03,5.93,0,35.61,0.59,8.36,7.18,9.3
00:09.0,6.45,25.09,8.73,0,40.27,0.86,8.47,6.47,5
00:09.1,4.59,25.72,22.35,0,52.67,1.33,9.1,6.63,8.3
00:09.2,3.99,26.05,27.39,0,57.44,1.14,8.83,6.51,9.3
00:09.4,3.13,24.67,30.66,0,58.47,0.94,9.49,6.51,5
00:09.6,3.94,25.07,25.16,0,54.17,1.33,8.79,6.59,8.8
00:09.7,4.09,24.02,8.03,0,36.13,1.22,8.55,6.59,9.3
00:09.9,2.88,21.37,6.89,0,31.15,1.06,9.3,6.71,5
00:10.0,3.73,22.36,3.56,0,29.65,1.49,9.69,7.22,8.7
00:10.1,4.68,21.98,0.19,0,26.86,0.75,8.71,7.65,9.3
00:10.3,6.65,21.97,0,0,28.62,1.1,7.06,8.39,5
00:10.4,17.28,23.23,0,0,40.51,1.29,6.04,8.9,8.1
00:10.5,21.87,26.04,0,0,47.92,0.43,6.08,9.34,9.3
00:10.7,25.88,29.28,0,0,55.15,0.78,6,9.65,5
00:10.8,28.63,31.8,0,0,60.44,0.9,6.12,9.81,8.8
00:10.9,30.51,33.56,0,0,64.08,0.35,5.53,9.77,9
00:11.1,31.53,34.51,0,0,66.05,0.78,6.16,9.61,5
00:11.3,31.4,35.78,0,0,67.18,0.86,5.96,9.1,8.8
00:11.4,29.76,37.73,0,0,67.49,0.24,6.9,8.94,9.2
00:11.6,25.4,38.77,0,0,64.17,0.55,8.63,8.04,4.9
00:11.7,22.62,37.5,0,0,60.12,0.86,8.94,7.41,8.8
00:11.8,21.07,34.14,1.1,0,56.31,1.41,9.14,6.94,9.3
00:12.0,7.73,22.52,4.42,0,34.68,1.45,8.83,6.47,5
00:12.1,1.93,7.59,7.95,0,17.47,1.1,9.3,6.24,8.8
00:12.2,0.67,5.55,19.49,0.05,25.77,1.14,9.1,6.24,9.2
00:12.4,0.66,4.84,23.77,1.89,31.16,1.14,9.06,6.12,5.1
00:12.5,1.17,4.9,28.93,4.06,39.05,1.02,9.18,6.12,8.7
00:12.6,2.09,5.44,34.08,6.24,47.84,1.14,9.06,6.2,9.3
00:12.8,3.22,6.11,39.14,16.67,65.14,1.1,9.14,6.47,4.9
00:13.0,4.11,6.36,41.64,20.38,72.49,1.14,8.94,6.16,8.7
00:13.1,1.31,4.66,43,23.74,72.72,1.14,9.1,6.2,9.2
00:13.3,0,0.05,33.43,24.85,58.33,0.82,9.18,5.88,5.1
00:13.4,0,0,17.58,24.32,41.9,0.67,9.41,5.45,8.8
00:13.5,0,0,6.32,23.64,29.97,0.63,9.81,4.86,9.3
00:13.7,0,0,3.99,21.43,25.42,0.71,10,3.96,5
00:13.8,0,0,3.26,18.91,22.17,0.82,10.08,3.41,8.8
00:13.9,0,0,3.17,18.22,21.39,0.71,10.2,3.02,9.3
00:14.1,0,0,3.3,19.6,22.9,0.59,10.04,3.41,4.9
00:14.2,0,0.1,2.98,20.19,23.27,0.67,10.08,3.18,8.7
00:14.3,0,0.29,2.59,19.7,22.58,0.86,10.16,2.67,9.3
00:14.5,0,0.45,2.22,18.31,20.98,0.82,10.16,2.35,4.9
00:14.6,0,0.61,2.03,18.06,20.71,0.9,10.2,2.24,8.8
00:14.8,0,0.7,1.94,18.22,20.85,0.86,10.16,2.43,9.3
00:15.0,0,0.83,2.18,20.88,23.89,0.51,10.2,2.59,5
00:15.1,0,0.95,2.42,24.28,27.65,0.47,10.28,2.82,8.7
00:15.2,0,0.83,2.02,25.37,28.22,0.51,10.24,2.79,9.3
00:15.4,0,0.34,0.21,21.78,22.33,0.63,10.04,3.37,4.9
00:15.5,0,0.14,0,20.12,20.25,0.75,10.08,3.61,8.3
00:15.6,0,0.15,0,20.79,20.94,0.71,9.96,4.04,9.3
00:15.8,0,0.09,0,24.88,24.97,0.86,9.85,4.55,5
00:15.9,0,0.06,0,28.81,28.88,0.78,9.85,4.82,8.8
00:16.0,0,0.53,0.32,31.86,32.71,0.86,9.57,5.1,9.3
00:16.2,0.1,1.82,3.53,31.15,36.61,0.78,9.45,6.12,5
00:16.3,2.88,4.18,7.34,22.05,36.46,0.75,9.92,7.92,8.8
00:16.4,6.61,7.07,17.91,7.65,39.25,1.45,8.67,6.39,9.2
00:16.7,18.82,9.74,20.03,6,54.58,1.49,8.94,6.51,4.9
00:16.8,23.97,20.34,21.41,5.44,71.17,1.53,9.06,6.83,8.8
00:16.9,25.74,21.96,21.26,5.04,73.99,1.53,8.79,6.59,9.2
00:17.1,7.48,8.03,3.74,1.44,20.7,1.26,8.83,6.43,5
00:17.2,3.08,4.19,3.03,0,10.3,1.22,9.18,6.24,8.8
00:17.3,1.56,3.13,1.16,0,5.85,0.75,9.06,6.2,9.2
00:17.5,1.12,3.24,0.76,0,5.12,1.29,8.83,6.35,5
00:17.6,0,2.71,1.81,0,4.53,1.14,9.06,6.32,8.8
00:17.7,0,2.51,3.21,0,5.72,1.06,8.94,6.35,9.3
00:17.9,0,3.8,7.33,0,11.13,0.94,9.18,6.24,4.9
00:18.0,0,6.17,21.96,0.56,28.69,1.06,8.87,6.35,8.8
00:18.1,0,8.41,31.87,0.77,41.05,0.78,9.18,6.35,9.3
00:18.3,0,21.41,40.1,0,61.52,0.55,9.18,6.67,5
00:18.5,1.74,28.76,41.63,0,72.13,0.98,8.39,6.83,8.8
00:18.6,4.74,35,36.1,0,75.84,1.33,8.71,6.9,9.2
00:18.8,9,39.08,18.72,0,66.81,0.94,8,6.67,5
00:18.9,23.44,39.95,6.48,0,69.86,1.69,9.18,6.94,8.8
00:19.0,29.04,37.61,2.53,0,69.18,1.33,8.43,6.59,9.2
00:19.2,30.42,29.08,0.53,0,60.03,1.8,8.94,6.55,4.9
00:19.3,26.37,20.38,0,0,46.75,1.73,9.26,6.71,8.8
00:19.4,21.71,7.46,0,0,29.17,1.77,8.79,6.39,9.3
00:19.6,7.11,3.8,0,1.19,12.1,1.29,8.9,6.28,5
00:19.7,4.52,1.96,0,3.12,9.6,1.33,9.22,6.08,8.7
00:19.8,2.49,0.99,0.91,5.09,9.49,1.14,9.14,6.12,9.3
00:20.0,3.02,1.89,3.72,7.06,15.69,1.02,9.22,6.04,5
00:20.1,4.22,3.07,7.54,8.37,23.2,0.94,9.18,6.16,8.8
00:20.3,5.49,4.32,21.4,16.7,47.91,0.78,9.34,6.2,9.3
00:20.5,7.5,5.93,29.46,16.64,59.53,0.86,9.18,6.12,4.9
00:20.6,17.55,7.37,35.63,8.88,69.42,0.82,9.02,6.2,8.4
00:20.7,20.2,8.33,39.61,8.62,76.75,0.9,9.18,6.2,9.3
00:20.9,24.52,9.06,40.31,8.1,82,0.94,9.14,6.2,5.1
00:21.0,29.21,17.39,40.16,7.39,94.15,0.98,9.18,6.16,8.7
00:21.1,33.57,18.91,40.08,5.94,98.5,0.9,9.41,6.39,9.3
00:21.3,37.06,22.13,40.56,2.95,102.7,1.1,8.9,6.43,5
00:21.4,36.34,24.31,42.42,2.3,105.37,0.86,9.1,6.39,8.7
00:21.5,35.17,25.31,42.84,2.05,105.37,1.02,9.06,6.39,9.3
00:21.7,29.53,26.3,40.33,1.08,97.24,1.22,8.9,6.43,4.9
00:21.8,27.52,27.31,38.69,0.12,93.63,1.22,8.9,6.51,8.8
00:22.0,26.6,27.84,37.46,0,91.9,1.22,8.94,6.47,9.3
00:22.2,25.45,28.37,36.87,0,90.69,1.14,8.98,6.51,5
00:22.3,25.59,29.77,36.15,0,91.51,1.14,8.94,6.51,8.8
00:22.4,26.62,32.08,33.45,0,92.15,1.29,8.63,6.71,9.3
00:22.6,26.41,33.36,33.67,0,93.44,1.29,8.79,6.63,5
00:22.7,25.83,32.29,33.78,0,91.9,1.37,8.83,6.47,8.8
00:22.8,24,26.76,32.38,0.05,83.19,1.49,9.45,6.59,9
00:22.8,23.16,24.57,32.06,1.6,81.39,1.37,9.26,6.39,20
00:23.0,23.55,25.9,34.06,2.45,85.97,1.33,8.94,6.51,5
00:23.2,23.75,26.14,33.98,3.33,87.2,1.49,8.87,6.51,8.8
00:23.3,23.24,24.51,33.93,4.6,86.29,1.53,9.14,6.51,9.2
00:23.5,24.22,27.8,29.53,0,81.55,1.57,13.57,8.12,5
00:23.6,5.69,19.02,1.34,0,26.06,-1.22,10.47,7.06,8.8
00:23.7,1.01,2.93,0,0,3.94,-1.33,10.67,-0.51,9.2
00:23.9,0.99,1.46,0,0,2.45,0.35,9.85,8.08,5
00:24.0,1,0.91,0,0,1.91,2.55,9.41,7.69,8.5
00:24.1,0.71,0.38,0,0,1.1,0.08,10,9.73,9.2
00:24.3,1.42,0.9,0,0,2.32,0.39,9.14,5.57,4.9
00:24.4,1.61,0.93,0,0,2.54,0.86,9.57,5.96,8.8
00:24.5,2.47,1.89,1.06,2.59,8.01,1.1,9.14,6.28,8.8
00:24.7,5.06,4.46,4.84,3.45,17.81,1.06,8.98,6.32,5
00:24.9,7.3,7.52,17.67,2.31,34.79,0.86,8.94,6.32,8.8
00:25.0,9.07,18.72,26.4,0.87,55.06,0.9,9.3,6.71,9.1
00:25.2,19.22,24.9,35.37,0,79.48,0.86,8.94,6.75,5
00:25.3,22.27,30.56,40.98,0,93.81,0.55,8.24,6.83,8.5
00:25.4,24.98,34.3,43.81,0,103.08,1.33,9.18,6.86,9.2
00:25.6,27.3,39.11,37.83,0,104.24,1.84,9.89,7.49,5
00:25.7,26.01,43.08,18.43,0,87.52,1.33,11.96,8.28,8.3
00:25.8,5.22,29.8,0.07,0,35.1,0.78,10.2,9.26,9.2
00:26.0,0,1.27,0,0,1.27,1.33,8.39,2,5
00:26.1,0,0.56,0,0,0.56,1.26,13.14,7.1,8.8
00:26.2,0,0.46,0,0,0.46,-1.26,12.28,9.49,9.1
00:26.4,0,0,0,0,0,0.31,9.02,6.24,5
00:26.6,0,0,0,0,0,0.12,9.77,8.87,8.5
00:26.7,0,0,0,0,0,3.3,10.63,0.75,9.2
00:26.9,0,0.07,0,0,0.07,-0.12,8,6.39,5
00:27.0,0.54,2.25,0,0.42,3.21,1.14,8.98,6.08,8.8
00:27.1,3.38,5.24,2.81,1.23,12.65,1.1,9.02,6.32,9.1
00:27.3,6.9,9.28,7.46,0,23.65,1.18,9.22,6.51,5
00:27.4,18.26,23.55,22.94,0,64.75,0.47,8.39,6.63,8.7
00:27.5,21.48,30.17,31.06,0,82.72,0.86,8.63,6.94,9.1
00:27.7,22.1,36.8,28.92,0,87.82,0.67,9.02,7.53,5
00:27.8,7.44,37.83,7.33,0,52.6,1.14,9.73,8.28,8.5
00:28.0,0.64,20.61,0,0,21.26,0.27,5.65,8.39,9.1
00:28.2,0,7.45,0,0,7.45,-1.41,5.45,11.3,5
00:28.3,0,0,0,0,0,-0.82,5.73,10.51,8.8
00:28.4,0,0,0,0,0,2.43,8.32,2.2,9.2
00:28.6,0,0,0,0,0,-1.8,11.34,10.36,5
00:28.7,0,0,0,0,0,2.28,9.53,9.22,8.7
00:28.8,0,0,0,0,0,1.37,6.98,9.06,9.2
00:29.0,0,0,0,0,0,0.51,8.9,5.92,5
00:29.1,0,0,0,0,0,0.86,9.18,5.88,8.5
00:29.2,0,0.73,1.86,1.42,4.02,0.98,9.26,6.2,9.2
00:29.4,0.3,3.02,5.84,3.2,12.36,0.86,8.71,5.81,5
00:29.5,3.11,6.14,19.15,3.57,31.97,1.02,9.26,6.24,8.7
00:29.7,6.67,9.61,26.48,2.25,45.01,1.22,9.02,6.43,9.1
00:29.9,19.64,22.87,30.73,1.28,74.51,1.33,8.9,6.51,5
00:30.0,25.69,26.05,31.56,1.81,85.11,1.37,8.71,6.47,8.7
00:30.1,27.71,25.76,33.05,3.33,89.85,1.33,9.53,6.51,9.1
00:30.3,20.78,19.27,3.38,0,43.43,0.63,10.2,7.53,5
00:30.4,1.44,2.55,0,0,4,-0.47,7.96,9.02,8.5
00:30.5,0,0,0,0,0,-2.94,7.81,0.51,9.1
00:30.7,0,0,0,0,0,2,10.55,7.3,5
00:30.8,0,0,0,0,0,1.61,11.14,7.92,8.4
00:30.9,0,0,0,0,0,0.35,8.75,8.55,9.1
00:31.1,0,0,0,0,0,0.27,9.45,6.51,5
00:31.3,0,0,0,0,0,0.67,9.49,5.14,8.8
00:31.4,0,0,0,0,0,0.63,9.18,5.61,9.3
00:31.6,0,0.3,0.2,1.72,2.21,0.55,9.18,5.92,5
00:31.7,0,2.02,3.91,4.73,10.66,0.59,8.9,5.81,8.5
00:31.8,0,3.9,17.11,7.28,28.29,0.51,9.45,6.67,9.3
00:32.0,0.13,6.72,28.74,5.9,41.49,0.63,9.26,6.55,4.9
00:32.1,1.33,17.41,40.61,3.69,63.03,0.59,9.06,6.24,8.8
00:32.2,3.51,22.5,44.8,3.4,74.21,1.77,9.06,6.39,9.2
00:32.4,6.99,27.49,41.2,0.83,76.51,1.26,8.75,6.59,5
00:32.5,19.22,32.01,39.58,0,90.81,1.29,9.14,6.71,8.8
00:32.6,23.23,36.36,24.32,0,83.91,1.33,10,7.26,9.2
00:32.8,1.23,18.91,0,0,20.14,-1.26,8.28,8.9,5
00:33.0,0,1.14,0,0,1.14,0.47,8.12,0.31,8.5
00:33.1,0,0,0,0,0,1.02,10.9,5.77,9.2
00:33.3,0,0,0,0,0,0.16,8.71,11.18,5
00:33.4,0,0,0,0,0,-0.16,9.34,9.49,8.8
00:33.5,0,0,0,0,0,0.39,12.28,3.49,9.3
00:33.7,0,0,0,0,0,0.43,9.1,5.84,5
00:33.8,0,0.27,0.87,1.59,2.73,0.59,9.3,5.96,8.8
00:33.9,0,2.17,4.58,4.55,11.3,1.14,8.98,6.08,9.2
00:34.1,1.66,5.3,17.2,4.16,28.32,1.14,8.94,6.59,5
00:34.2,4.89,9.22,25.24,1.65,40.99,1.14,9.02,6.43,8.5
00:34.3,8.67,23.08,31.19,0,62.94,1.22,9.02,6.55,9.2
00:34.5,22.77,30.1,27.86,0,80.72,1.14,9.18,6.75,4.9
00:34.7,29.42,36.33,21.21,0,86.96,1.65,9.34,7.06,8.8
00:34.8,31.93,39.88,4.7,0,76.52,1.45,10.55,7.65,9.2
00:35.0,2.93,6.33,0,0,9.26,0.67,6.24,10.04,5
00:35.1,0,0,0,0,0,2.47,6.86,1.92,8.7
00:35.2,0,0,0,0,0,0.39,9.96,6.51,9.3
00:35.4,0,0,0,0,0,0.82,10.2,6.94,5
00:35.5,0,0,0,0,0,0.12,9.81,7.57,8.5
00:35.6,0,0,0,0,0,0.47,8.79,7.61,9.3
00:35.8,0,0,0,0,0,1.57,10.36,2.9,5
00:35.9,0,0,0,0,0,0.67,9.53,5.1,8.4
00:36.0,0,0,0,1.4,1.4,0.55,9.22,5.77,9.2
00:36.2,0,1.34,3.24,4.1,8.68,0.63,9.41,6,5
00:36.4,0,3.43,8.83,4.44,16.69,0.39,9.06,6.24,8.7
00:36.5,0,5.81,28.23,3.93,37.97,0.59,8.94,5.77,9.3
00:36.7,0.44,9.11,36.41,4.85,50.8,0.98,9.1,6.12,5
00:36.8,3,21.35,40.59,4.02,68.96,1.61,8.98,6.16,8.8
